=== Country Statistics ===
Total Servers: 1000
Successful Geo-IP Resolutions: 651
Failed Geo-IP Resolutions: 349
Unknown              : 162
United States        : 98
Germany              : 80
France               : 52
The Netherlands      : 32
Finland              : 25
Czechia              : 20
United Kingdom       : 18
Lithuania            : 16
Japan                : 14
Spain                : 12
South Korea          : 10
Singapore            : 10
Sweden               : 10
Türkiye              : 10
Hong Kong            : 8
Seychelles           : 6
Canada               : 6
Iran                 : 6
Poland               : 6
Switzerland          : 6
United Arab Emirates : 6
Ireland              : 4
Denmark              : 4
Moldova              : 4
Italy                : 4
Russia               : 4
Kazakhstan           : 2
Austria              : 2
Vietnam              : 2
Malaysia             : 2
Thailand             : 2
Chile                : 2
India                : 2
Slovenia             : 2
Bulgaria             : 2

=== Server Type Summary ===
VLESS                : 500
SS                   : 500
VMESS                : 488
TROJAN               : 239
HYSTERIA2            : 18
WIREGUARD            : 8
HYSTERIA             : 0
TUIC                 : 0
WARP                 : 0

=== Channel Statistics ===
FarahVPN            : 50
v2ray_free_conf     : 50
ConfigsHUB2         : 50
V2aryng_vpn         : 50
vmess_ir            : 50
vmesc               : 50
Hope_Net            : 50
vmesskhodam         : 49
kingofilter         : 39
V2ra_ng_iran        : 25
